"","ECOSUBCD","PLT_CN","tpaDead","baDead","volumeDead","propDead","propDeadLarge","volCWD","stage","baLive","carbonLive","richness","evenness","subForestProp","tpaCanopy","annualRecruit","annualMortality","micrForestProp","tpaRegen","INVYR","plotID","date","SRV_CN","CTY_CN","PREV_PLT_CN","STATECD","UNITCD","COUNTYCD","LAT","LON"
"34"," 211Ba",304030131489998,28.9580429170506,0.495956116101129,1.67781621472748,0.117647058823529,NA,NA,"late",8.48686562105716,18581.4508220538,1.29099444873581,0.32188758248682,0.415639,217.18532187788,0.0322061191626409,0.0241545893719807,0.5,749.65282,2016,2321782,"2016-11-01",304024323489998,1320311010538,222518197010661,23,5,21,917425.502812474,1958398.00777236
"35"," 211Ba",304030132489998,6.018046,0.0889201865788015,0.377151615941385,0.04,NA,NA,"pole",4.89515385161469,9995.89221122751,0.816496580927726,0.346573590279973,1,144.433104,0.0712143928035982,0.00374812593703148,1,1349.375076,2016,2321755,"2016-09-16",304024323489998,1320311010538,222518199010661,23,5,21,906690.892127392,1956227.68153991
"36"," 211Ba",304030134489998,24.072184,0.918049086811179,3.34214293439655,0.4,NA,NA,"late",3.15459303894959,8805.08829411376,1.22474487139159,0.366204096222703,1,36.108276,0.00821018062397373,0.0123152709359606,1,149.930564,2016,2321682,"2016-11-15",304024323489998,1320311010538,222518203010661,23,5,21,905314.197757949,1942324.04995927
"37"," 211Ba",304030460489998,66.198506,4.7561626957758,37.5569978363538,0.211538461538462,0.4,NA,"mature",14.4496218007287,39131.6293130574,1.09321633322024,0.277987164150759,1,246.739886,0.00997008973080758,0.0199401794616152,1,149.930564,2016,2321773,"2016-09-29",304024323489998,1320311010538,222518291010661,23,5,21,952759.801564604,1958670.19872234
"38"," 211Ba",304030464489998,12.036092,0.507418348652694,2.35294726411559,0.125,NA,NA,"mature",4.98355564204402,20996.2730742922,0.801783725737273,0.366204096222703,1,84.252644,0.0492610837438424,0.0061576354679803,1,974.548666,2016,23191683,"2016-11-21",304024323489998,1320309010538,222518299010661,23,3,19,942292.59761099,1964230.0853897
"39"," 211Ba",304030489489998,18.054138,0.765854076106516,4.26683585333547,0.111111111111111,NA,NA,"mature",9.47701346560571,22732.9843344066,1.42886901662352,0.277987164150759,1,144.433104,0.0407955124936257,0.0152983171851096,1,674.687538,2016,23191217,"2016-05-16",304024323489998,1320309010538,222518423010661,23,3,19,962494.844320484,1979873.51963088
"40"," 211Ba",304030490489998,18.054138,0.829342357470392,4.14303093759258,0.0545454545454545,NA,NA,"pole",12.4386716552809,24478.7372323779,1.10940039245046,0.259930192709979,1,312.938392,0.00746640119462419,0.0174216027874564,1,1424.340358,2016,23191068,"2016-03-16",304024323489998,1320309010538,222518425010661,23,3,19,954432.220200952,1977066.07607062
"41"," 211Ba",304030618489998,30.09023,1.47892322664105,8.3678183465161,0.135135135135135,0.111111111111111,NA,"mature",8.76735963087942,26124.9640840751,1.59099025766973,0.244136064148469,1,192.577472,0.0181818181818182,0.00727272727272727,1,524.756974,2016,232198,"2016-09-14",304024323489998,1320311010538,222518439010661,23,5,21,908031.447288838,1967637.25180024
"42"," 211Ba",304030693489998,24.072184,0.859012913554471,3.30918708181305,0.121212121212121,NA,NA,"mature",9.26434906876052,31595.6388384209,0.928476690885259,0.32188758248682,1,174.523334,0.0137362637362637,0.0183150183150183,1,299.861128,2016,23191560,"2016-10-24",304024323489998,1320309010538,222518839010661,23,3,19,946487.17300599,1976259.22449239
"43"," 211Ba",375823198489998,12.036092,0.294723457916364,1.23932178287209,0.0740740740740741,NA,NA,"mature",7.68635118978939,17632.466494471,1.4,0.277987164150759,1,150.45115,0.0600109110747409,0.0218221494817239,1,524.756974,2017,23212642,"2017-06-02",362471077489998,1320311010538,247056576010661,23,5,21,911314.781690899,1959234.96640149
"44"," 211Ba",375823200489998,36.108276,1.44345883123942,8.06392142320142,0.315789473684211,0.666666666666667,NA,"pole",1.82716346351687,3521.86206451495,1.66410058867569,0.298626578204676,1,78.234598,0.0411663807890223,0.0445969125214408,1,1799.166768,2017,23212656,"2017-05-26",362471077489998,1320311010538,247056578010661,23,5,21,908585.468651047,1945188.97970381
"45"," 211Ba",375823206489998,6.018046,0.0856573402262872,0.302197760447175,0.0238095238095238,NA,NA,"pole",7.24443371931614,19485.9718128371,1.71791138077467,0.217990479345306,1,246.739886,0.0263388937664618,0.00877963125548727,1,1499.30564,2017,23212677,"2017-12-06",362471077489998,1320311010538,247056584010661,23,5,21,880686.750125867,1926613.79479222
"46"," 211Ba",375823526489998,6.018046,0.153719705261913,0.633280267179102,0.0625,NA,NA,"mature",3.76471481297863,12817.1067281808,1.29099444873581,0.32188758248682,1,90.27069,0.062200956937799,0,1,1124.47923,2017,23252368,"2017-12-07",362471077489998,1320316010538,247056471010661,23,7,25,871554.246943959,1923912.47098884
"47"," 211Ba",375823561489998,24.072184,0.860080199744546,3.01596637489084,0.0816326530612245,NA,NA,"pole",11.1430472083124,29765.8188979009,1.19256958799989,0.259930192709979,1,270.81207,0.0240963855421687,0.0120481927710843,1,1799.166768,2017,23192230,"2017-11-17",362471077489998,1320309010538,247056662010661,23,3,19,957756.920467703,1981815.71749848
"48"," 211Ba",375823682489998,30.09023,0.798665502978529,2.44912148427495,0.087719298245614,NA,NA,"pole",11.5118708217111,29358.0548565019,1.24807544150677,0.244136064148469,1,312.938392,0.0216590859865714,0.00866363439462855,1,1724.201486,2017,23192703,"2017-07-17",362471077489998,1320309010538,247056663010661,23,3,19,949723.746501127,1981126.96119433
"49"," 211Ba",375823718489998,24.072184,0.617897716271006,2.79183859592275,0.0512820512820513,NA,NA,"pole",11.2132746396194,24543.2302432464,0.813733471206735,0.277987164150759,1,445.335404,0.0273684210526316,0.00421052631578947,1,1049.513948,2017,23212058,"2017-12-07",362471077489998,1320311010538,247056667010661,23,5,21,919907.583844241,1960845.1128632
"50"," 211Bb",171137510020004,6.018046,0.275207367583568,1.84703741109245,0.0588235294117647,NA,NA,"mosaic",4.72472349400532,14902.3866269352,0.75,0.366204096222703,1,96.288736,0.0123724095267553,0.0123724095267553,1,2623.78487,2014,2319565,"2014-08-04",171136287020004,1320309010538,145024725010661,23,3,19,966384.327606668,1983490.00282757
"51"," 211Bb",171137684020004,36.108276,1.15529155991923,5.43712946423474,0.130434782608696,NA,NA,"mature",10.419274701986,18551.7602537073,0.948683298050514,0.298626578204676,1,240.72184,0.0157232704402516,0.00628930817610063,1,599.722256,2014,23191394,"2014-11-17",171136287020004,1320309010538,145023769010661,23,3,19,955841.511415178,1987146.5736766
"52"," 211Fc",15806678020004,36.108276,0.931588374479556,4.89856453312026,0.107142857142857,0.0909090909090909,NA,"mature",13.7687541992433,35539.6400502134,0.989949493661166,0.277987164150759,1,300.9023,0.00343170899107756,0.0137268359643102,1,149.930564,2013,361051653,"2013-08-08",15802863020004,1320451010538,118182259010661,36,8,105,403677.508059407,1652880.11957976
"53"," 211Fc",15806679020004,42.126322,1.53539791304158,5.25636774348781,0.137254901960784,0.0769230769230769,23.7220364145901,"mature",15.7045673969097,54479.9568358398,1.05528970602217,0.277987164150759,1,264.794024,NA,NA,NA,NA,2013,36105507,"2013-08-15",15802863020004,1320451010538,118182261010661,36,8,105,387102.136137678,1663175.95278826
